# rustls in-memory benchmark
benchmark,suite,size,iterations,bytes,elapsed_ns,mib_per_sec
rustls_handshake,TLS_AES_128_GCM_SHA256,1,256,256,39207219,6529.41
rustls_handshake,TLS_AES_128_GCM_SHA256,1,256,256,38841543,6590.88
rustls_handshake,TLS_AES_128_GCM_SHA256,1,256,256,38803493,6597.34
rustls_handshake,TLS_AES_128_GCM_SHA256,1,256,256,39087852,6549.35
rustls_handshake,TLS_AES_128_GCM_SHA256,1,256,256,39140838,6540.48
rustls_handshake_client_start,TLS_AES_128_GCM_SHA256,1,256,256,37161,6888942.71
rustls_handshake_server_accept,TLS_AES_128_GCM_SHA256,1,256,256,20897864,12250.06
rustls_handshake_server_flight,TLS_AES_128_GCM_SHA256,1,256,256,35228,7266946.75
rustls_handshake_client_flight,TLS_AES_128_GCM_SHA256,1,256,256,11166299,22926.13
rustls_handshake_server_finished,TLS_AES_128_GCM_SHA256,1,256,256,605072,423090.14
rustls_handshake_client_start,TLS_AES_128_GCM_SHA256,1,256,256,28333,9035400.42
rustls_handshake_server_accept,TLS_AES_128_GCM_SHA256,1,256,256,20807517,12303.25
rustls_handshake_server_flight,TLS_AES_128_GCM_SHA256,1,256,256,34061,7515927.31
rustls_handshake_client_flight,TLS_AES_128_GCM_SHA256,1,256,256,11159421,22940.26
rustls_handshake_server_finished,TLS_AES_128_GCM_SHA256,1,256,256,594526,430595.13
rustls_handshake_client_start,TLS_AES_128_GCM_SHA256,1,256,256,29141,8784873.55
rustls_handshake_server_accept,TLS_AES_128_GCM_SHA256,1,256,256,20849261,12278.61
rustls_handshake_server_flight,TLS_AES_128_GCM_SHA256,1,256,256,42997,5953903.76
rustls_handshake_client_flight,TLS_AES_128_GCM_SHA256,1,256,256,11141552,22977.05
rustls_handshake_server_finished,TLS_AES_128_GCM_SHA256,1,256,256,604763,423306.32
rustls_handshake_client_start,TLS_AES_128_GCM_SHA256,1,256,256,28705,8918306.92
rustls_handshake_server_accept,TLS_AES_128_GCM_SHA256,1,256,256,20801842,12306.60
rustls_handshake_server_flight,TLS_AES_128_GCM_SHA256,1,256,256,34586,7401838.89
rustls_handshake_client_flight,TLS_AES_128_GCM_SHA256,1,256,256,11158723,22941.69
rustls_handshake_server_finished,TLS_AES_128_GCM_SHA256,1,256,256,595386,429973.16
rustls_handshake_client_start,TLS_AES_128_GCM_SHA256,1,256,256,26211,9766891.76
rustls_handshake_server_accept,TLS_AES_128_GCM_SHA256,1,256,256,21217256,12065.65
rustls_handshake_server_flight,TLS_AES_128_GCM_SHA256,1,256,256,34912,7332722.27
rustls_handshake_client_flight,TLS_AES_128_GCM_SHA256,1,256,256,11305007,22644.83
rustls_handshake_server_finished,TLS_AES_128_GCM_SHA256,1,256,256,613948,416973.42
rustls_app_client_to_server,TLS_AES_128_GCM_SHA256,16,1048576,16777216,413748432,38.67
rustls_app_client_to_server,TLS_AES_128_GCM_SHA256,16,1048576,16777216,413909570,38.66
rustls_app_client_to_server,TLS_AES_128_GCM_SHA256,16,1048576,16777216,413933371,38.65
rustls_app_client_to_server,TLS_AES_128_GCM_SHA256,16,1048576,16777216,412394650,38.80
rustls_app_client_to_server,TLS_AES_128_GCM_SHA256,16,1048576,16777216,413509450,38.69
rustls_app_server_to_client,TLS_AES_128_GCM_SHA256,16,1048576,16777216,410494571,38.98
rustls_app_server_to_client,TLS_AES_128_GCM_SHA256,16,1048576,16777216,410684152,38.96
rustls_app_server_to_client,TLS_AES_128_GCM_SHA256,16,1048576,16777216,410554574,38.97
rustls_app_server_to_client,TLS_AES_128_GCM_SHA256,16,1048576,16777216,411506290,38.88
rustls_app_server_to_client,TLS_AES_128_GCM_SHA256,16,1048576,16777216,411003816,38.93
rustls_app_ping_pong,TLS_AES_128_GCM_SHA256,16,1048576,33554432,830460546,38.53
rustls_app_ping_pong,TLS_AES_128_GCM_SHA256,16,1048576,33554432,828829700,38.61
rustls_app_ping_pong,TLS_AES_128_GCM_SHA256,16,1048576,33554432,835743664,38.29
rustls_app_ping_pong,TLS_AES_128_GCM_SHA256,16,1048576,33554432,828335149,38.63
rustls_app_ping_pong,TLS_AES_128_GCM_SHA256,16,1048576,33554432,827817168,38.66
rustls_app_client_to_server,TLS_AES_128_GCM_SHA256,128,131072,16777216,53043889,301.64
rustls_app_client_to_server,TLS_AES_128_GCM_SHA256,128,131072,16777216,52843835,302.78
rustls_app_client_to_server,TLS_AES_128_GCM_SHA256,128,131072,16777216,52989220,301.95
rustls_app_client_to_server,TLS_AES_128_GCM_SHA256,128,131072,16777216,52794409,303.06
rustls_app_client_to_server,TLS_AES_128_GCM_SHA256,128,131072,16777216,52693492,303.64
rustls_app_server_to_client,TLS_AES_128_GCM_SHA256,128,131072,16777216,52837575,302.81
rustls_app_server_to_client,TLS_AES_128_GCM_SHA256,128,131072,16777216,52563845,304.39
rustls_app_server_to_client,TLS_AES_128_GCM_SHA256,128,131072,16777216,52561558,304.40
rustls_app_server_to_client,TLS_AES_128_GCM_SHA256,128,131072,16777216,52896147,302.48
rustls_app_server_to_client,TLS_AES_128_GCM_SHA256,128,131072,16777216,52798995,303.04
rustls_app_ping_pong,TLS_AES_128_GCM_SHA256,128,131072,33554432,106580594,300.24
rustls_app_ping_pong,TLS_AES_128_GCM_SHA256,128,131072,33554432,106141354,301.48
rustls_app_ping_pong,TLS_AES_128_GCM_SHA256,128,131072,33554432,106349937,300.89
rustls_app_ping_pong,TLS_AES_128_GCM_SHA256,128,131072,33554432,105920441,302.11
rustls_app_ping_pong,TLS_AES_128_GCM_SHA256,128,131072,33554432,106950890,299.20
rustls_app_client_to_server,TLS_AES_128_GCM_SHA256,1350,12427,16776450,8999493,1777.80
rustls_app_client_to_server,TLS_AES_128_GCM_SHA256,1350,12427,16776450,8862809,1805.21
rustls_app_client_to_server,TLS_AES_128_GCM_SHA256,1350,12427,16776450,8882943,1801.12
rustls_app_client_to_server,TLS_AES_128_GCM_SHA256,1350,12427,16776450,9087309,1760.62
rustls_app_client_to_server,TLS_AES_128_GCM_SHA256,1350,12427,16776450,8899822,1797.71
rustls_app_server_to_client,TLS_AES_128_GCM_SHA256,1350,12427,16776450,8790355,1820.09
rustls_app_server_to_client,TLS_AES_128_GCM_SHA256,1350,12427,16776450,8907766,1796.10
rustls_app_server_to_client,TLS_AES_128_GCM_SHA256,1350,12427,16776450,8774977,1823.28
rustls_app_server_to_client,TLS_AES_128_GCM_SHA256,1350,12427,16776450,8774358,1823.41
rustls_app_server_to_client,TLS_AES_128_GCM_SHA256,1350,12427,16776450,8736155,1831.39
rustls_app_ping_pong,TLS_AES_128_GCM_SHA256,1350,12427,33552900,17798576,1797.81
rustls_app_ping_pong,TLS_AES_128_GCM_SHA256,1350,12427,33552900,17876716,1789.96
rustls_app_ping_pong,TLS_AES_128_GCM_SHA256,1350,12427,33552900,17802392,1797.43
rustls_app_ping_pong,TLS_AES_128_GCM_SHA256,1350,12427,33552900,17879305,1789.70
rustls_app_ping_pong,TLS_AES_128_GCM_SHA256,1350,12427,33552900,17811101,1796.55
rustls_app_client_to_server,TLS_AES_128_GCM_SHA256,8192,2048,16777216,5096730,3139.27
rustls_app_client_to_server,TLS_AES_128_GCM_SHA256,8192,2048,16777216,4972156,3217.92
rustls_app_client_to_server,TLS_AES_128_GCM_SHA256,8192,2048,16777216,5023706,3184.90
rustls_app_client_to_server,TLS_AES_128_GCM_SHA256,8192,2048,16777216,5046600,3170.45
rustls_app_client_to_server,TLS_AES_128_GCM_SHA256,8192,2048,16777216,5039802,3174.73
rustls_app_server_to_client,TLS_AES_128_GCM_SHA256,8192,2048,16777216,5159741,3100.93
rustls_app_server_to_client,TLS_AES_128_GCM_SHA256,8192,2048,16777216,5167055,3096.54
rustls_app_server_to_client,TLS_AES_128_GCM_SHA256,8192,2048,16777216,5151594,3105.83
rustls_app_server_to_client,TLS_AES_128_GCM_SHA256,8192,2048,16777216,5163598,3098.61
rustls_app_server_to_client,TLS_AES_128_GCM_SHA256,8192,2048,16777216,5141033,3112.21
rustls_app_ping_pong,TLS_AES_128_GCM_SHA256,8192,2048,33554432,10533266,3037.99
rustls_app_ping_pong,TLS_AES_128_GCM_SHA256,8192,2048,33554432,10737757,2980.14
rustls_app_ping_pong,TLS_AES_128_GCM_SHA256,8192,2048,33554432,10617099,3014.01
rustls_app_ping_pong,TLS_AES_128_GCM_SHA256,8192,2048,33554432,10555172,3031.69
rustls_app_ping_pong,TLS_AES_128_GCM_SHA256,8192,2048,33554432,10533264,3037.99
rustls_app_client_to_server,TLS_AES_128_GCM_SHA256,16384,1024,16777216,5084859,3146.60
rustls_app_client_to_server,TLS_AES_128_GCM_SHA256,16384,1024,16777216,5145990,3109.22
rustls_app_client_to_server,TLS_AES_128_GCM_SHA256,16384,1024,16777216,5035562,3177.40
rustls_app_client_to_server,TLS_AES_128_GCM_SHA256,16384,1024,16777216,5146426,3108.95
rustls_app_client_to_server,TLS_AES_128_GCM_SHA256,16384,1024,16777216,5126744,3120.89
rustls_app_server_to_client,TLS_AES_128_GCM_SHA256,16384,1024,16777216,5008686,3194.45
rustls_app_server_to_client,TLS_AES_128_GCM_SHA256,16384,1024,16777216,5003648,3197.67
rustls_app_server_to_client,TLS_AES_128_GCM_SHA256,16384,1024,16777216,5153859,3104.47
rustls_app_server_to_client,TLS_AES_128_GCM_SHA256,16384,1024,16777216,5176010,3091.18
rustls_app_server_to_client,TLS_AES_128_GCM_SHA256,16384,1024,16777216,4987316,3208.14
rustls_app_ping_pong,TLS_AES_128_GCM_SHA256,16384,1024,33554432,10007099,3197.73
rustls_app_ping_pong,TLS_AES_128_GCM_SHA256,16384,1024,33554432,10029523,3190.58
rustls_app_ping_pong,TLS_AES_128_GCM_SHA256,16384,1024,33554432,10186909,3141.29
rustls_app_ping_pong,TLS_AES_128_GCM_SHA256,16384,1024,33554432,10204238,3135.95
rustls_app_ping_pong,TLS_AES_128_GCM_SHA256,16384,1024,33554432,10114298,3163.84
rustls_handshake,TLS_AES_256_GCM_SHA384,1,256,256,45524877,5623.30
rustls_handshake,TLS_AES_256_GCM_SHA384,1,256,256,45308532,5650.15
rustls_handshake,TLS_AES_256_GCM_SHA384,1,256,256,45112048,5674.76
rustls_handshake,TLS_AES_256_GCM_SHA384,1,256,256,45334730,5646.88
rustls_handshake,TLS_AES_256_GCM_SHA384,1,256,256,45279305,5653.80
rustls_handshake_client_start,TLS_AES_256_GCM_SHA384,1,256,256,27692,9244547.16
rustls_handshake_server_accept,TLS_AES_256_GCM_SHA384,1,256,256,23549351,10870.79
rustls_handshake_server_flight,TLS_AES_256_GCM_SHA384,1,256,256,36038,7103612.85
rustls_handshake_client_flight,TLS_AES_256_GCM_SHA384,1,256,256,14475179,17685.45
rustls_handshake_server_finished,TLS_AES_256_GCM_SHA384,1,256,256,1333070,192037.93
rustls_handshake_client_start,TLS_AES_256_GCM_SHA384,1,256,256,25887,9889133.54
rustls_handshake_server_accept,TLS_AES_256_GCM_SHA384,1,256,256,23501255,10893.04
rustls_handshake_server_flight,TLS_AES_256_GCM_SHA384,1,256,256,35918,7127345.62
rustls_handshake_client_flight,TLS_AES_256_GCM_SHA384,1,256,256,14417960,17755.63
rustls_handshake_server_finished,TLS_AES_256_GCM_SHA384,1,256,256,1320587,193853.19
rustls_handshake_client_start,TLS_AES_256_GCM_SHA384,1,256,256,25807,9919789.20
rustls_handshake_server_accept,TLS_AES_256_GCM_SHA384,1,256,256,23597415,10848.65
rustls_handshake_server_flight,TLS_AES_256_GCM_SHA384,1,256,256,35978,7115459.45
rustls_handshake_client_flight,TLS_AES_256_GCM_SHA384,1,256,256,14485380,17672.99
rustls_handshake_server_finished,TLS_AES_256_GCM_SHA384,1,256,256,1332395,192135.22
rustls_handshake_client_start,TLS_AES_256_GCM_SHA384,1,256,256,26086,9813693.17
rustls_handshake_server_accept,TLS_AES_256_GCM_SHA384,1,256,256,23418794,10931.39
rustls_handshake_server_flight,TLS_AES_256_GCM_SHA384,1,256,256,36098,7091805.64
rustls_handshake_client_flight,TLS_AES_256_GCM_SHA384,1,256,256,14403111,17773.94
rustls_handshake_server_finished,TLS_AES_256_GCM_SHA384,1,256,256,1322479,193575.85
rustls_handshake_client_start,TLS_AES_256_GCM_SHA384,1,256,256,25648,9981285.09
rustls_handshake_server_accept,TLS_AES_256_GCM_SHA384,1,256,256,23448111,10917.72
