# rustls in-memory benchmark
benchmark,suite,size,iterations,bytes,elapsed_ns,mib_per_sec
rustls_handshake,TLS_AES_128_GCM_SHA256,1,256,256,37949492,6745.81
rustls_handshake,TLS_AES_128_GCM_SHA256,1,256,256,37556912,6816.32
rustls_handshake,TLS_AES_128_GCM_SHA256,1,256,256,37631546,6802.80
rustls_handshake,TLS_AES_128_GCM_SHA256,1,256,256,37675211,6794.92
rustls_handshake,TLS_AES_128_GCM_SHA256,1,256,256,37690515,6792.16
rustls_handshake_client_start,TLS_AES_128_GCM_SHA256,1,256,256,27493,9311461.10
rustls_handshake_server_accept,TLS_AES_128_GCM_SHA256,1,256,256,20279837,12623.38
rustls_handshake_server_flight,TLS_AES_128_GCM_SHA256,1,256,256,32061,7984779.02
rustls_handshake_client_flight,TLS_AES_128_GCM_SHA256,1,256,256,10828699,23640.88
rustls_handshake_server_finished,TLS_AES_128_GCM_SHA256,1,256,256,581541,440209.72
rustls_handshake_client_start,TLS_AES_128_GCM_SHA256,1,256,256,27107,9444055.04
rustls_handshake_server_accept,TLS_AES_128_GCM_SHA256,1,256,256,20231560,12653.50
rustls_handshake_server_flight,TLS_AES_128_GCM_SHA256,1,256,256,31019,8253006.22
rustls_handshake_client_flight,TLS_AES_128_GCM_SHA256,1,256,256,10818260,23663.69
rustls_handshake_server_finished,TLS_AES_128_GCM_SHA256,1,256,256,591492,432803.82
rustls_handshake_client_start,TLS_AES_128_GCM_SHA256,1,256,256,27384,9348524.69
rustls_handshake_server_accept,TLS_AES_128_GCM_SHA256,1,256,256,20372778,12565.79
rustls_handshake_server_flight,TLS_AES_128_GCM_SHA256,1,256,256,31812,8047277.76
rustls_handshake_client_flight,TLS_AES_128_GCM_SHA256,1,256,256,10862955,23566.33
rustls_handshake_server_finished,TLS_AES_128_GCM_SHA256,1,256,256,589461,434295.06
rustls_handshake_client_start,TLS_AES_128_GCM_SHA256,1,256,256,27062,9459759.07
rustls_handshake_server_accept,TLS_AES_128_GCM_SHA256,1,256,256,20194046,12677.00
rustls_handshake_server_flight,TLS_AES_128_GCM_SHA256,1,256,256,30846,8299293.26
rustls_handshake_client_flight,TLS_AES_128_GCM_SHA256,1,256,256,10848366,23598.02
rustls_handshake_server_finished,TLS_AES_128_GCM_SHA256,1,256,256,579007,442136.28
rustls_handshake_client_start,TLS_AES_128_GCM_SHA256,1,256,256,27365,9355015.53
rustls_handshake_server_accept,TLS_AES_128_GCM_SHA256,1,256,256,20419077,12537.30
rustls_handshake_server_flight,TLS_AES_128_GCM_SHA256,1,256,256,31003,8257265.43
rustls_handshake_client_flight,TLS_AES_128_GCM_SHA256,1,256,256,10908512,23467.91
rustls_handshake_server_finished,TLS_AES_128_GCM_SHA256,1,256,256,588284,435163.97
rustls_app_client_to_server,TLS_AES_128_GCM_SHA256,16,1048576,16777216,396829398,40.32
rustls_app_client_to_server,TLS_AES_128_GCM_SHA256,16,1048576,16777216,397211909,40.28
rustls_app_client_to_server,TLS_AES_128_GCM_SHA256,16,1048576,16777216,397749787,40.23
rustls_app_client_to_server,TLS_AES_128_GCM_SHA256,16,1048576,16777216,397214778,40.28
rustls_app_client_to_server,TLS_AES_128_GCM_SHA256,16,1048576,16777216,397597936,40.24
rustls_app_server_to_client,TLS_AES_128_GCM_SHA256,16,1048576,16777216,394995501,40.51
rustls_app_server_to_client,TLS_AES_128_GCM_SHA256,16,1048576,16777216,394630580,40.54
rustls_app_server_to_client,TLS_AES_128_GCM_SHA256,16,1048576,16777216,395540558,40.45
rustls_app_server_to_client,TLS_AES_128_GCM_SHA256,16,1048576,16777216,394692659,40.54
rustls_app_server_to_client,TLS_AES_128_GCM_SHA256,16,1048576,16777216,394766856,40.53
rustls_app_ping_pong,TLS_AES_128_GCM_SHA256,16,1048576,33554432,796000290,40.20
rustls_app_ping_pong,TLS_AES_128_GCM_SHA256,16,1048576,33554432,796173555,40.19
rustls_app_ping_pong,TLS_AES_128_GCM_SHA256,16,1048576,33554432,796686298,40.17
rustls_app_ping_pong,TLS_AES_128_GCM_SHA256,16,1048576,33554432,796239790,40.19
rustls_app_ping_pong,TLS_AES_128_GCM_SHA256,16,1048576,33554432,795872480,40.21
rustls_app_client_to_server,TLS_AES_128_GCM_SHA256,128,131072,16777216,50919131,314.22
rustls_app_client_to_server,TLS_AES_128_GCM_SHA256,128,131072,16777216,51150685,312.80
rustls_app_client_to_server,TLS_AES_128_GCM_SHA256,128,131072,16777216,50815414,314.87
rustls_app_client_to_server,TLS_AES_128_GCM_SHA256,128,131072,16777216,50901417,314.33
rustls_app_client_to_server,TLS_AES_128_GCM_SHA256,128,131072,16777216,50922440,314.20
rustls_app_server_to_client,TLS_AES_128_GCM_SHA256,128,131072,16777216,50605948,316.17
rustls_app_server_to_client,TLS_AES_128_GCM_SHA256,128,131072,16777216,50609418,316.15
rustls_app_server_to_client,TLS_AES_128_GCM_SHA256,128,131072,16777216,50725982,315.42
rustls_app_server_to_client,TLS_AES_128_GCM_SHA256,128,131072,16777216,50597382,316.22
rustls_app_server_to_client,TLS_AES_128_GCM_SHA256,128,131072,16777216,50558231,316.47
rustls_app_ping_pong,TLS_AES_128_GCM_SHA256,128,131072,33554432,102128335,313.33
rustls_app_ping_pong,TLS_AES_128_GCM_SHA256,128,131072,33554432,101984497,313.77
rustls_app_ping_pong,TLS_AES_128_GCM_SHA256,128,131072,33554432,102164320,313.22
